timestamp,delta_absolute,delta_percentage,delta_absolute_past,delta_percentage_past
206.38,-0.3999999999999986,-1.6666666666666607,23.46,16757.14285714279
209.65,2.84,11.833333333333334,27.24,-6810.000000000024
213.29,-1.0199999999999996,-4.249999999999998,20.14,709.1549295774649
216.38,3.2600000000000016,13.58333333333334,28.28,-2772.5490196078445
219.37,2.6400000000000006,11.000000000000004,23.38,717.1779141104291
223.29,3.3000000000000007,13.750000000000004,24.66,934.0909090909088
226.3,3.8200000000000003,15.916666666666668,24.52,743.0303030303029
229.37,1.4400000000000013,6.000000000000005,21.62,565.9685863874345
233.15,0.75,3.125,23.31,1618.7499999999986
236.3,0.9100000000000001,3.7916666666666674,24.16,3221.333333333333
239.36,3.370000000000001,14.041666666666671,26.46,2907.692307692307
242.89,-0.75,-3.125,19.88,589.9109792284864
246.3,0.25,1.0416666666666665,25.0,-3333.3333333333335
249.37,1.8500000000000014,7.708333333333339,25.6,10240.0
252.73,2.3000000000000007,9.583333333333337,24.45,1321.6216216216205
256.33,-1.6600000000000001,-6.916666666666667,20.04,871.3043478260867
259.37,3.870000000000001,16.125000000000004,29.53,-1778.9156626506024
262.56,-0.010000000000001563,-0.04166666666667318,20.119999999999997,519.8966408268732
266.3,-0.7600000000000016,-3.166666666666673,23.25,-232499.99999996368
269.29,-0.16000000000000014,-0.6666666666666672,24.6,-3236.842105263151
272.36,3.91,16.291666666666668,28.07,-17543.749999999985
276.02,2.0100000000000016,8.375000000000005,22.1,565.2173913043479
279.3,-0.5300000000000011,-2.2083333333333384,21.459999999999997,1067.6616915422876
282.37,-0.7899999999999991,-3.291666666666663,23.740000000000002,-4479.245283018859
285.82,-1.5500000000000007,-6.458333333333337,23.24,-2941.772151898737
289.3,0.17999999999999972,0.7499999999999989,25.73,-1659.9999999999995
292.36,2.9400000000000013,12.250000000000005,26.76,14866.666666666692
